condition,alpha,delta_Q,delta_r,delta_phi,delta_B
baseline,0.0,0.3916666666666666,0.5324918683968565,-0.40170940170940167,-0.9791666666666666
baseline,0.05,0.3916666666666666,0.5657617901372634,-0.40170940170940167,-0.9791666666666666
baseline,0.1,0.3916666666666666,0.567225539801433,-0.40170940170940167,-0.9791666666666666
baseline,0.15000000000000002,0.3916666666666666,0.567661740154316,-0.40170940170940167,-0.9791666666666666
baseline,0.2,0.3916666666666666,0.571849383120687,-0.40170940170940167,-0.9791666666666666
baseline,0.25,0.3916666666666666,0.5798321252245328,-0.40170940170940167,-0.9791666666666666
baseline,0.30000000000000004,0.3916666666666666,0.5908337878863242,-0.40170940170940167,-0.9791666666666666
baseline,0.35000000000000003,0.3916666666666666,0.6040246930862712,-0.40170940170940167,-0.9791666666666666
baseline,0.4,0.3916666666666666,0.6186815922498674,-0.40170940170940167,-0.9791666666666666
baseline,0.45,0.3916666666666666,0.6341522849386686,-0.40170940170940167,-0.9791666666666666
baseline,0.5,0.3916666666666666,0.6497821152560377,-0.40170940170940167,-0.9791666666666666
baseline,0.55,0.3833333333333333,0.6427288276817731,-0.39316239316239315,-0.9583333333333333
baseline,0.6000000000000001,0.35,0.5726179771011217,-0.358974358974359,-0.875
baseline,0.65,0.29999999999999993,0.4743565829420462,-0.30769230769230765,-0.75
baseline,0.7000000000000001,0.23333333333333328,0.35096064417146144,-0.23931623931623933,-0.5833333333333333
baseline,0.75,0.15833333333333333,0.22974699827968403,-0.1623931623931624,-0.39583333333333337
baseline,0.8,0.05833333333333324,0.07823056546060103,-0.05982905982905984,-0.14583333333333331
baseline,0.8500000000000001,0.0,-0.000762710715371151,0.0,0.0
baseline,0.9,0.0,-0.00015523971111408574,0.0,0.0
baseline,0.9500000000000001,0.0,-0.0001019853214844213,0.0,0.0
baseline,1.0,0.0,0.0,0.0,0.0
slow,0.0,0.3916666666666666,0.5367199262900119,-0.40170940170940167,-0.9791666666666666
slow,0.05,0.3916666666666666,0.5370923180156404,-0.40170940170940167,-0.9791666666666666
slow,0.1,0.3916666666666666,0.5404584696306673,-0.40170940170940167,-0.9791666666666666
slow,0.15000000000000002,0.3916666666666666,0.54835125459333,-0.40170940170940167,-0.9791666666666666
slow,0.2,0.3916666666666666,0.559801118440383,-0.40170940170940167,-0.9791666666666666
slow,0.25,0.3916666666666666,0.5738308327424733,-0.40170940170940167,-0.9791666666666666
slow,0.30000000000000004,0.3916666666666666,0.5896698308647708,-0.40170940170940167,-0.9791666666666666
slow,0.35000000000000003,0.3916666666666666,0.6067634449128843,-0.40170940170940167,-0.9791666666666666
slow,0.4,0.3916666666666666,0.6245183213263463,-0.40170940170940167,-0.9791666666666666
slow,0.45,0.3916666666666666,0.6411192728723449,-0.40170940170940167,-0.9791666666666666
slow,0.5,0.3916666666666666,0.6559516641248069,-0.40170940170940167,-0.9791666666666666
slow,0.55,0.33333333333333326,0.5165318606433004,-0.34188034188034183,-0.8333333333333333
slow,0.6000000000000001,0.19999999999999996,0.25533315820316427,-0.20512820512820512,-0.5
slow,0.65,0.008333333333333304,0.009518846661243807,-0.008547008547008548,-0.020833333333333332
slow,0.7000000000000001,0.0,3.011003437691784e-07,0.0,0.0
slow,0.75,0.0,-4.799921227149895e-08,0.0,0.0
slow,0.8,0.0,-3.919608171365496e-08,0.0,0.0
slow,0.8500000000000001,0.0,-4.100337402945797e-08,0.0,0.0
slow,0.9,0.0,-4.585982860128013e-08,0.0,0.0
slow,0.9500000000000001,0.0,-5.233664346349087e-08,0.0,0.0
slow,1.0,0.0,0.0,0.0,0.0
topology reset,0.0,0.0,0.06852894068224796,0.0,0.0
topology reset,0.05,0.0,0.07519157548277738,0.0,0.0
topology reset,0.1,0.0,0.058549845220071894,0.0,0.0
topology reset,0.15000000000000002,0.0,0.04204331582450149,0.0,0.0
topology reset,0.2,0.0,0.028920482927317914,0.0,0.0
topology reset,0.25,0.0,0.01893520528333842,0.0,0.0
topology reset,0.30000000000000004,0.0,0.011447385500889584,0.0,0.0
topology reset,0.35000000000000003,0.0,0.006043905363918245,0.0,0.0
topology reset,0.4,0.0,0.0025317465758695756,0.0,0.0
topology reset,0.45,0.0,0.00040534825940941044,0.0,0.0
topology reset,0.5,0.0,-0.006501615994232435,0.0,0.0
topology reset,0.55,0.3833333333333333,0.6427288276817731,-0.39316239316239315,-0.9583333333333333
topology reset,0.6000000000000001,0.35,0.5726179771011217,-0.358974358974359,-0.875
topology reset,0.65,0.29999999999999993,0.4743565829420462,-0.30769230769230765,-0.75
topology reset,0.7000000000000001,0.23333333333333328,0.35096064417146144,-0.23931623931623933,-0.5833333333333333
topology reset,0.75,0.15833333333333333,0.22974699827968403,-0.1623931623931624,-0.39583333333333337
topology reset,0.8,0.05833333333333324,0.07823056546060103,-0.05982905982905984,-0.14583333333333331
topology reset,0.8500000000000001,0.0,-0.000762710715371151,0.0,0.0
topology reset,0.9,0.0,-0.00015523971111408574,0.0,0.0
topology reset,0.9500000000000001,0.0,-0.0001019853214844213,0.0,0.0
topology reset,1.0,0.0,0.0,0.0,0.0
