condition,level,branch,alpha,dwell,structural_reset,reset_applied_here,Q,r,phi,B,polarization,mean_opinion,n_edges,n_bridges
baseline,0,up,0.0,20,False,False,0.09968750000000001,0.46293317280055274,0.41025641025641024,1.0,0.04482911354190526,-0.0035107804297089843,240,96
baseline,1,up,0.05,20,False,False,0.09968750000000001,0.4293406211706257,0.41025641025641024,1.0,0.0791786477303824,-0.004166574472781223,240,96
baseline,2,up,0.1,20,False,False,0.09968750000000001,0.4275066084765786,0.41025641025641024,1.0,0.12296215942251813,-0.005629612583549326,240,96
baseline,3,up,0.15000000000000002,20,False,False,0.09968750000000001,0.4266353279319082,0.41025641025641024,1.0,0.171233126677742,-0.007413806392701529,240,96
baseline,4,up,0.2,20,False,False,0.09968750000000001,0.4219491734574412,0.41025641025641024,1.0,0.22149737683069218,-0.00903899168392057,240,96
baseline,5,up,0.25,20,False,False,0.09968750000000001,0.4134172108327199,0.41025641025641024,1.0,0.2721932881800262,-0.010201156206207405,240,96
baseline,6,up,0.30000000000000004,20,False,False,0.09968750000000001,0.4018311283655217,0.41025641025641024,1.0,0.32230382034323835,-0.01078229073804512,240,96
baseline,7,up,0.35000000000000003,20,False,False,0.09968750000000001,0.3880332806237643,0.41025641025641024,1.0,0.3712663433325015,-0.010769871795156396,240,96
baseline,8,up,0.4,20,False,False,0.09968750000000001,0.37275516598811775,0.41025641025641024,1.0,0.41881844062124485,-0.010195575720609518,240,96
baseline,9,up,0.45,20,False,False,0.09968750000000001,0.35665351545918145,0.41025641025641024,1.0,0.466007612907927,-0.009150277245921674,240,96
baseline,10,up,0.5,20,False,False,0.09968750000000001,0.3403850419628801,0.41025641025641024,1.0,0.5125486603536102,-0.007831410593296043,240,96
baseline,11,up,0.55,20,False,False,0.10802083333333337,0.3467925968620799,0.4017094017094017,0.9791666666666666,0.5609073346865461,-0.006619577351163549,240,94
baseline,12,up,0.6000000000000001,20,False,False,0.1413541666666667,0.4162504110020384,0.36752136752136755,0.8958333333333334,0.6181786985025229,-0.005585081376114603,240,86
baseline,13,up,0.65,20,False,False,0.1913541666666667,0.5138508143439544,0.3162393162393162,0.7708333333333334,0.67849596309194,-0.00492424389540681,240,74
baseline,14,up,0.7000000000000001,20,False,False,0.25802083333333337,0.6365769205990032,0.24786324786324787,0.6041666666666666,0.7414336552438943,-0.0029410887705414225,240,58
baseline,15,up,0.75,20,False,False,0.3330208333333333,0.7571108676946683,0.17094017094017094,0.4166666666666667,0.8005623908457252,-0.0017852686336529255,240,40
baseline,16,up,0.8,20,False,False,0.4330208333333334,0.9079366189443602,0.06837606837606838,0.16666666666666666,0.8561912158906143,-0.000712401977292404,240,16
baseline,17,up,0.8500000000000001,20,False,False,0.49135416666666665,0.9862270575058545,0.008547008547008548,0.020833333333333332,0.9011031116644471,0.0014238393882314126,240,2
