step,branch,alpha,G,M,L,C,dwell,neutralized
0,up,0.0,0.002044836461555062,0.0,9.870862049830113e-05,0.00019861872462723914,50.0,none
1,up,0.025,0.0023797386620703154,9.453251236636114e-05,0.00022262689247691365,0.000424129372456571,50.0,none
2,up,0.05,0.0027703917578606,0.0002987216888722848,0.0003767708560329365,0.0006794995848130781,50.0,none
3,up,0.07500000000000001,0.0032265076155398296,0.000621310400418922,0.0005681778539137456,0.0009700015112164023,50.0,none
4,up,0.1,0.003759648570301695,0.0010658704713529144,0.0008054182825862453,0.0013018304511860231,50.0,none
5,up,0.125,0.004383628836158147,0.0016331927646698614,0.0010989377720441989,0.0016822858869530272,50.0,none
6,up,0.15000000000000002,0.005115028028537905,0.0023242727200184676,0.0014614821946095696,0.0021199936725280074,50.0,none
7,up,0.17500000000000002,0.00597386039737257,0.0031432972728879403,0.0019086295803976622,0.0026251818773965914,50.0,none
8,up,0.2,0.006984462109283619,0.004100211936239579,0.0024594623174744082,0.0032100278805383786,50.0,none
9,up,0.225,0.008176687565281508,0.00521272085061533,0.003137426664770652,0.003889101703932135,50.0,none
10,up,0.25,0.009587551727740135,0.006507855412844778,0.003971447047332704,0.004679941615980587,50.0,none
11,up,0.275,0.01126353196051282,0.00802347562927723,0.004997394094109922,0.005603815120513939,50.0,none
12,up,0.30000000000000004,0.013263874260490168,0.009810231788631033,0.006260055546374623,0.006686745872283442,50.0,none
13,up,0.325,0.015665482146617563,0.011934658365436137,0.007815842122331943,0.007960932752840807,50.0,none
14,up,0.35000000000000003,0.01857039897249315,0.014484299256645692,0.009736603407221475,0.009466766590907878,50.0,none
15,up,0.375,0.022117738965365237,0.01757625137772062,0.012115187303148403,0.01125579399353288,50.0,none
16,up,0.4,0.026503680658787394,0.021371604650686153,0.015073871022109463,0.013395254378344343,50.0,none
17,up,0.42500000000000004,0.03201709840843802,0.02610073870809054,0.018777805421545894,0.015975385684463963,50.0,none
18,up,0.45,0.039108269422948115,0.03211043294148009,0.023457882715722998,0.019121972751041865,50.0,none
19,up,0.47500000000000003,0.04853605078701733,0.03995987167428198,0.029453122992585724,0.02301982787159915,50.0,none
20,up,0.5,0.06173376883121001,0.05064350781528137,0.03729932405551533,0.027962339434398235,50.0,none
21,up,0.525,0.08195596585668785,0.06622307460702727,0.04795213642916508,0.03447717780137754,50.0,none
22,up,0.55,0.11982804865422109,0.0924007949034023,0.06357115441321029,0.04377144964905014,50.0,none
23,up,0.5750000000000001,0.3854745219388993,0.17648851589721104,0.09632715265260745,0.06277696704797915,50.0,none
24,up,0.6000000000000001,0.9811489419040296,0.6510234704570272,0.23667593449137078,0.144542286322879,50.0,none
25,up,0.625,0.9939258667058549,0.8621194480618661,0.36791483257036284,0.22516461566941096,50.0,none
26,up,0.65,0.9971258069981372,0.9412723821882217,0.48012168269408556,0.29861420901506125,50.0,none
27,up,0.675,0.9983906617152247,0.970334291284031,0.5749657576261764,0.36522301397773493,50.0,none
28,up,0.7000000000000001,0.9990208841243077,0.9813653410379484,0.654515884426092,0.42555622563512513,50.0,none
29,up,0.7250000000000001,0.999374882201573,0.9861035191517201,0.7207797532194508,0.48017972668829084,50.0,none
30,up,0.75,0.9995874628639656,0.9886567188566063,0.7756137522339098,0.5296225812862724,50.0,none
31,up,0.775,0.9997207149502074,0.9904170656807966,0.8206980924502185,0.5743704294327356,50.0,none
32,up,0.8,0.9998069343828064,0.9918499262846067,0.857531690312901,0.6148659911267764,50.0,none
33,up,0.8250000000000001,0.9998641773236662,0.9931141791351447,0.8874359465899888,0.6515115743748403,50.0,none
34,up,0.8500000000000001,0.9999030220649952,0.9942687810952967,0.9115635067431814,0.6846721507142369,50.0,none
35,up,0.875,0.9999298838148157,0.9953395517451461,0.9309100034160752,0.7146785042226067,50.0,none
36,up,0.9,0.9999487650433934,0.9963405158804634,0.9463275070717652,0.7418302627683073,50.0,none
37,up,0.925,0.9999622254773678,0.997280866386099,0.9585387807296792,0.7663987364545027,50.0,none
