regime,alpha,root_index,G,M,L,C,dominant_real_eigenvalue,stable
"fast-subsystem monostable, no memory",0.0,0,0.0020368807367356825,0.0,0.0020368807367356825,0.005413304870606792,-0.0007525461009209195,True
"fast-subsystem monostable, no memory",0.0025,0,0.0020677791161813593,0.00015942784241953424,0.002090992989482497,0.005495139751120517,-0.0007525847238952267,True
"fast-subsystem monostable, no memory",0.005,0,0.002099147980959215,0.00030116900731122167,0.0021462774400668122,0.005578212128014766,-0.000752623934976199,True
"fast-subsystem monostable, no memory",0.0075,0,0.0021309945494521814,0.00042877153912518736,0.0022027571908507905,0.005662540726166631,-0.0007526637431868151,True
"fast-subsystem monostable, no memory",0.01,0,0.0021633261524596466,0.0005449184263122536,0.002260455774681107,0.005748144554155518,-0.0007527041576905746,True
"fast-subsystem monostable, no memory",0.0125,0,0.002196150234999453,0.0006516766275962769,0.002319397162583091,0.005835042908573715,-0.0007527451877937494,True
"fast-subsystem monostable, no memory",0.015,0,0.0022294743581403285,0.0007506647670506156,0.0023796057715864097,0.005923255378402766,-0.0007527868429476754,True
"fast-subsystem monostable, no memory",0.0175,0,0.0022633062008653474,0.000843168888028602,0.0024411064726844365,0.0060128018494568424,-0.0007528291327510816,True
"fast-subsystem monostable, no memory",0.02,0,0.0022976535619669827,0.0009302241141566732,0.0025039245989293846,0.0061037025088940405,-0.0007528720669524588,True
"fast-subsystem monostable, no memory",0.0225,0,0.0023325243619743245,0.0010126733843593306,0.002568085953665355,0.006195977849796692,-0.0007529156554524679,True
"fast-subsystem monostable, no memory",0.025,0,0.0023679266451130743,0.001091210435535979,0.0026336168189014645,0.006289648675821735,-0.0007529599083063912,True
"fast-subsystem monostable, no memory",0.0275,0,0.002403868581298948,0.001166411750961113,0.002700543963827294,0.0063847361059223414,-0.0007530048357266237,True
"fast-subsystem monostable, no memory",0.03,0,0.0024403584681650615,0.00123876064373861,0.0027688946534728115,0.006481261579141744,-0.0007530504480852063,True
"fast-subsystem monostable, no memory",0.0325,0,0.0024774047331239685,0.0013086656452910034,0.0028386966575150714,0.00657924685948047,-0.0007530967559164049,True
"fast-subsystem monostable, no memory",0.035,0,0.0025150159354650264,0.001376474710575073,0.0029099782592339894,0.0066787140408382,-0.0007531437699193313,True
"fast-subsystem monostable, no memory",0.0375,0,0.0025532007684876765,0.0014424863098800435,0.002982768264619428,0.006779685552031218,-0.0007531915009606096,True
"fast-subsystem monostable, no memory",0.04,0,0.002591968061671412,0.0015069581753903557,0.0030570960116320153,0.006882184161886846,-0.0007532399600770893,True
"fast-subsystem monostable, no memory",0.0425,0,0.002631326782883062,0.0015701142614605844,0.0031329913796200176,0.006986232984415907,-0.0007532891584786039,True
"fast-subsystem monostable, no memory",0.045,0,0.0026712860406221256,0.0016321503303190178,0.0032104847988946557,0.007091855484064517,-0.0007533391075507776,True
"fast-subsystem monostable, no memory",0.0475,0,0.0027118550863048842,0.00169323846992418,0.003289607260466313,0.00719907548104641,-0.0007533898188578811,True
"fast-subsystem monostable, no memory",0.05,0,0.002753043316588,0.0017535307748968154,0.0033703903259440448,0.007307917156757019,-0.000753441304145735,True
"fast-subsystem monostable, no memory",0.0525,0,0.0027948602757324288,0.0018131623660914736,0.0034528661376009386,0.00741840505927073,-0.0007534935753446655,True
"fast-subsystem monostable, no memory",0.055,0,0.0028373156580083205,0.0018722538835087897,0.003537067428607721,0.007530564108922385,-0.0007535466445725105,True
"fast-subsystem monostable, no memory",0.0575,0,0.002880419310141792,0.0019309135567840635,0.0036230275334372597,0.007644419603974588,-0.0007536005241376772,True
"fast-subsystem monostable, no memory",0.06,0,0.0029241812338043254,0.0019892389345607655,0.0037107803984424413,0.007759997226371984,-0.0007536552265422554,True
"fast-subsystem monostable, no memory",0.0625,0,0.002968611588145614,0.002047318336652148,0.0038003605926100314,0.007877323047583932,-0.0007537107644851819,True
"fast-subsystem monostable, no memory",0.065,0,0.003013720692370764,0.0021052320795711945,0.0038918033184931755,0.007996423534537047,-0.0007537671508654634,True
"fast-subsystem monostable, no memory",0.0675,0,0.003059519028362611,0.0021630535157316183,0.003985144423325096,0.008117325555638811,-0.0007538243987854532,True
"fast-subsystem monostable, no memory",0.07,0,0.00310601724335013,0.002220849918636457,0.004080420410316733,0.008240056386893896,-0.0007538825215541876,True
"fast-subsystem monostable, no memory",0.0725,0,0.0031532261526237932,0.002278683240121854,0.004177668450140996,0.00836464371811455,-0.0007539415326907797,True
"fast-subsystem monostable, no memory",0.075,0,0.0032011567422988163,0.0023366107608020557,0.004276926392606339,0.008491115659226556,-0.0007540014459278735,True
"fast-subsystem monostable, no memory",0.0775,0,0.003249820172127194,0.002394685650961327,0.004378232778522387,0.008619500746672183,-0.000754062275215159,True
"fast-subsystem monostable, no memory",0.08,0,0.0032992277783595843,0.0024529574560294303,0.004481626851760469,0.008749827949911864,-0.0007541240347229496,True
"fast-subsystem monostable, no memory",0.0825,0,0.0033493910766579094,0.002511472518284731,0.004587148571511735,0.008882126678025883,-0.0007541867388458224,True
"fast-subsystem monostable, no memory",0.085,0,0.0034003217650597807,0.0025702743444204657,0.004694838624745766,0.009016426786417875,-0.0007542504022063247,True
"fast-subsystem monostable, no memory",0.08750000000000001,0,0.003452031726995746,0.002629403926982614,0.004804738438872526,0.009152758583621664,-0.0007543150396587448,True
"fast-subsystem monostable, no memory",0.09,0,0.003504533034360379,0.002688900026363462,0.004916890194610432,0.009291152838212994,-0.0007543806662929505,True
