label,step,branch,alpha,dwell,link,ablated,reset_channels,reset_target,freeze_after_reset,recovery_multiplier,reset_applied_here,G,M,L,C
none,0,up,0.0,50.0,logistic,none,none,none,False,1.0,False,0.0020448364975812626,0.0,9.871344499494516e-05,0.00019862605479112498
none,1,up,0.03333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.0025029324785455533,0.00013159935951748394,0.00023374505884831673,0.0004359850340654468
none,2,up,0.06666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.0030654383533482827,0.000426373662091424,0.0004159268197644787,0.0007195104162597072
none,3,up,0.1,50.0,logistic,none,none,none,False,1.0,False,0.003757304123247494,0.0009074198371457932,0.0006602234776100513,0.0010600802914573744
none,4,up,0.13333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.004610061481499602,0.0015922388774949,0.0009861054859565828,0.0014712131324571835
none,5,up,0.16666666666666666,50.0,logistic,none,none,none,False,1.0,False,0.005663871998069361,0.0024984787309673346,0.0014189482006142706,0.001969790464008456
none,6,up,0.2,50.0,logistic,none,none,none,False,1.0,False,0.006970412546598824,0.0036511987459059347,0.0019919170748673816,0.002577019425939436
none,7,up,0.23333333333333334,50.0,logistic,none,none,none,False,1.0,False,0.00859706650557227,0.005090504552365644,0.0027485494249790197,0.003319742755957588
none,8,up,0.26666666666666666,50.0,logistic,none,none,none,False,1.0,False,0.010633217099108977,0.006879216070052647,0.0037463659500441174,0.004232268835360596
none,9,up,0.3,50.0,logistic,none,none,none,False,1.0,False,0.01320006048183716,0.009111420212119426,0.005062060548431158,0.005359009223298048
none,10,up,0.3333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.016466610738391965,0.011924214002242063,0.00679921537405936,0.006758424780048758
none,11,up,0.36666666666666664,50.0,logistic,none,none,none,False,1.0,False,0.02067728956892469,0.015517027013555394,0.009100274067289681,0.008509206151885319
none,12,up,0.4,50.0,logistic,none,none,none,False,1.0,False,0.026202930383001744,0.020187024609889748,0.01216618461942087,0.010720527761662676
none,13,up,0.43333333333333335,50.0,logistic,none,none,none,False,1.0,False,0.03364407132623553,0.02639939164108085,0.016291086045351042,0.013550384640979286
none,14,up,0.4666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.0440679518206541,0.03494159026474853,0.02193010073332903,0.017241909060046596
none,15,up,0.5,50.0,logistic,none,none,none,False,1.0,False,0.059662178923380604,0.04731853176833577,0.02985311994401185,0.022206856045255022
none,16,up,0.5333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.08619134874434972,0.06706864571470456,0.04159070167703358,0.02927080776887561
none,17,up,0.5666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.15200918020904294,0.10757368561499447,0.06163676515500085,0.04090035158032538
none,18,up,0.6,50.0,logistic,none,none,none,False,1.0,False,0.9693331315857276,0.5328145018434326,0.1767520652269293,0.10647584776274131
none,19,up,0.6333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.9928810837197899,0.8221093214995902,0.3191595287522151,0.19043082245546195
none,20,up,0.6666666666666666,50.0,logistic,none,none,none,False,1.0,False,0.9971994835294868,0.9301660148262696,0.44213140556598635,0.26717738960021536
none,21,up,0.7,50.0,logistic,none,none,none,False,1.0,False,0.9986250010030602,0.9687282910719426,0.5465134131880691,0.33679930246783873
none,22,up,0.7333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.9992508366475077,0.9826853030920307,0.6341871603383972,0.39985995672886865
none,23,up,0.7666666666666666,50.0,logistic,none,none,none,False,1.0,False,0.999567857099549,0.9883434362448505,0.7071441635888495,0.45694794546219447
none,24,up,0.8,50.0,logistic,none,none,none,False,1.0,False,0.9997411876014636,0.9912559926419344,0.7673161857761636,0.5086170893572538
none,25,up,0.8333333333333334,50.0,logistic,none,none,none,False,1.0,False,0.999840529562325,0.9932240662382874,0.8165133313507172,0.5553762616564167
none,26,up,0.8666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9998994429429369,0.9948159660951799,0.8563936033257643,0.5976892886835099
none,27,up,0.9,50.0,logistic,none,none,none,False,1.0,False,0.999935353861503,0.9962138411209059,0.888448129387234,0.635977482137405
none,28,up,0.9333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.9999577575072477,0.9974821648988607,0.9139966273281703,0.67062288828993
none,29,up,0.9666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9999720155488411,0.9986491063468435,0.9341901728584239,0.7019716355380358
none,30,up,1.0,50.0,logistic,none,none,none,False,1.0,False,0.9999812462115523,0.9997306239873,0.9500191835925664,0.7303371532150692
none,31,down,0.9666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.999975096809879,0.9990978295871095,0.961754317432427,0.7560025545665042
none,32,down,0.9333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.9999666120746117,0.998093824289495,0.9705128938658576,0.7792247219883728
none,33,down,0.9,50.0,logistic,none,none,none,False,1.0,False,0.9999549293484588,0.9969553619964069,0.9770934554606999,0.8002360684688519
none,34,down,0.8666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9999388318525054,0.9957203003227509,0.9820701451491991,0.8192468376675173
none,35,down,0.8333333333333334,50.0,logistic,none,none,none,False,1.0,False,0.9999166233776451,0.9943878392674657,0.9858582102555964,0.836447195271818
none,36,down,0.8,50.0,logistic,none,none,none,False,1.0,False,0.9998859425409784,0.9929480165176076,0.988759711078266,0.8520091145752295
none,37,down,0.7666666666666666,50.0,logistic,none,none,none,False,1.0,False,0.9998435004455154,0.9913871055176037,0.9909955885153046,0.8660880728716757
none,38,down,0.7333333333333334,50.0,logistic,none,none,none,False,1.0,False,0.9997847125220501,0.9896882570513511,0.9927282763987857,0.878824572757057
none,39,down,0.7,50.0,logistic,none,none,none,False,1.0,False,0.9997031817048884,0.9878310381511195,0.9940777189733963,0.8903454995649908
none,40,down,0.6666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9995899715315647,0.9857905549527622,0.9951327565416765,0.9007653228815823
none,41,down,0.6333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.9994325809373407,0.9835362448525439,0.9959592303605403,0.9101871461440335
none,42,down,0.6,50.0,logistic,none,none,none,False,1.0,False,0.999213492908133,0.9810302790795492,0.9966057368799935,0.9187036033371295
none,43,down,0.5666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9989081095343113,0.9782254592668715,0.9971076679662019,0.9263975951411696
none,44,down,0.5333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.998481794206374,0.9750624432753427,0.9974899646085018,0.9333428475550944
none,45,down,0.5,50.0,logistic,none,none,none,False,1.0,False,0.997885596369947,0.9714660759975434,0.9977688562666448,0.9396042623436668
none,46,down,0.4666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9970499963405643,0.9673405192758575,0.9979527332954214,0.9452380077091707
none,47,down,0.43333333333333335,50.0,logistic,none,none,none,False,1.0,False,0.9958756021995769,0.9625627581098782,0.9980421852976838,0.9502912640069111
none,48,down,0.4,50.0,logistic,none,none,none,False,1.0,False,0.9942190061137026,0.9569738850844763,0.9980291105496314,0.9548014827890174
none,49,down,0.3666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9918706376797255,0.950367286407865,0.9978946256917317,0.9587949169127822
none,50,down,0.33333333333333337,50.0,logistic,none,none,none,False,1.0,False,0.9885186850309535,0.9424723732855137,0.9976052139313958,0.9622839889247333
none,51,down,0.30000000000000004,50.0,logistic,none,none,none,False,1.0,False,0.9836870980070807,0.932931584558373,0.9971059950235912,0.965262675668281
none,52,down,0.2666666666666667,50.0,logistic,none,none,none,False,1.0,False,0.9766210363109463,0.9212663800398498,0.9963088013853781,0.9676982144722132
none,53,down,0.2333333333333334,50.0,logistic,none,none,none,False,1.0,False,0.9660527659195304,0.9068227750688036,0.9950697855208409,0.9695152319652115
none,54,down,0.19999999999999996,50.0,logistic,none,none,none,False,1.0,False,0.949648020445637,0.8886706245497117,0.9931426241901287,0.9705618365566098
none,55,down,0.16666666666666663,50.0,logistic,none,none,none,False,1.0,False,0.9223576948706026,0.8653625227163849,0.9900608125934682,0.9705222171086487
none,56,down,0.1333333333333333,50.0,logistic,none,none,none,False,1.0,False,0.8687813253937045,0.8339972280311361,0.9847098244373297,0.9685908441592086
none,57,down,0.09999999999999998,50.0,logistic,none,none,none,False,1.0,False,0.14494243836913148,0.7426248021538178,0.9594411724989776,0.9509802791825983
none,58,down,0.06666666666666665,50.0,logistic,none,none,none,False,1.0,False,0.07286759337167308,0.6426166104173999,0.916721581274699,0.9193219131170746
none,59,down,0.033333333333333326,50.0,logistic,none,none,none,False,1.0,False,0.04379217478046003,0.5817075602461592,0.8743694108990432,0.8875193268525029
none,60,down,0.0,50.0,logistic,none,none,none,False,1.0,False,0.028088142610870566,0.5533345807119014,0.8331929670354606,0.8561982366272402
ablate M,0,up,0.0,50.0,logistic,M,none,none,False,1.0,False,0.0020448364975812626,0.0,9.871344499494516e-05,0.00019862605479112498
ablate M,1,up,0.03333333333333333,50.0,logistic,M,none,none,False,1.0,False,0.0025028890173050757,0.000131598205317223,0.00023374384339967105,0.0004359829121972734
ablate M,2,up,0.06666666666666667,50.0,logistic,M,none,none,False,1.0,False,0.0030650904795903847,0.00042634904106996185,0.0004159112327925231,0.0007194860676890951
ablate M,3,up,0.1,50.0,logistic,M,none,none,False,1.0,False,0.0037559348265135506,0.0009072469206517606,0.0006601373935147884,0.001059958072218704
ablate M,4,up,0.13333333333333333,50.0,logistic,M,none,none,False,1.0,False,0.004606110105685971,0.0015914931281027478,0.0009857811831873395,0.001470790887788388
ablate M,5,up,0.16666666666666666,50.0,logistic,M,none,none,False,1.0,False,0.005654299382728737,0.0024960487713810552,0.0014179699660617521,0.0019686145283323957
ablate M,6,up,0.2,50.0,logistic,M,none,none,False,1.0,False,0.006949633733611578,0.0036445927053632234,0.0019893638373252288,0.0025741701432492868
ablate M,7,up,0.23333333333333334,50.0,logistic,M,none,none,False,1.0,False,0.008555104744274747,0.005074638701826175,0.002742519261227718,0.0033134670731795332
ablate M,8,up,0.26666666666666666,50.0,logistic,M,none,none,False,1.0,False,0.010552430682522176,0.006844277454111864,0.0037331005080523537,0.004219344049667123
ablate M,9,up,0.3,50.0,logistic,M,none,none,False,1.0,False,0.013049199679590395,0.009038998381153128,0.0050343212167916745,0.0053336221485683335
