intervention,operation,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap
none,none,0.4482553698887629,0.4482553698887629,0.9720520742925616,0.6562139987108216,0.026024614022508462
ablate M,ablation,0.4331820326954196,0.4331820326954196,0.9450724623349279,0.5831651338271769,0.020751099999006074
ablate L,ablation,0.29114467511992315,0.29114467511992315,0.9394281351033268,0.46748965115808805,0.002641065140104393
ablate M+L,ablation,0.17118670342921033,0.17118670342921033,0.8319879943808409,0.36753762404202145,0.0019135773270641575
zero M once,platform restoration,0.4482540097813569,0.4482558133331612,0.9720520373275794,0.6562132043542916,0.0260245361491569
zero L once,platform restoration,0.44733026653418145,0.4473410649419457,0.971630358002468,0.6493741804727815,0.025235503081700483
zero M+L once,platform restoration,0.44732517690642076,0.4473448719714628,0.9716300477754852,0.6493691665483994,0.025234972683190245
reference-restore M+L,platform restoration,0.10307992380110406,0.11992318077132029,0.8071446118819808,0.2775911970723243,0.001983882871675953
facilitate C recovery,human recovery facilitation,0.44548104144116085,0.44548104144116085,0.9720048201011577,0.5625450554575117,0.016600458636182588
reference-restore M+L + C recovery,platform restoration,0.07720061823422926,0.09438740285360687,0.7995765941580176,0.05088332821164442,0.00027113844725174625
