regime,link,dwell,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap
"fast-subsystem monostable, no memory",logistic,5.0,0.007194092765011318,0.007194092765011318,0.06895777080220417,0.1598365001474374,1.7819183555172445e-06
"fast-subsystem monostable, no memory",logistic,20.0,2.999744508230843e-05,2.999744508230843e-05,0.00060779548151918,0.26096122699109575,1.0637758035558775e-13
"fast-subsystem monostable, no memory",logistic,80.0,1.77260260867766e-13,1.77260260867766e-13,5.272171588188712e-12,0.14081465108143726,1.734723475976807e-18
"fast-subsystem monostable, no memory",logistic,320.0,3.425211503316207e-16,3.425211503316207e-16,2.1094237467877974e-15,0.007949439590073338,1.734723475976807e-18
fast-subsystem monostable + slow memory,logistic,5.0,0.3286908293596397,0.3286908293596397,0.8714015912155494,0.38308940963549304,0.0035038300445890676
fast-subsystem monostable + slow memory,logistic,20.0,0.4056919786156297,0.4056919786156297,0.9326551160129903,0.5581546213674481,0.01699773929279017
fast-subsystem monostable + slow memory,logistic,80.0,0.36650106995409065,0.36650106995409065,0.9445992459541247,0.4392761955847544,0.010898622639180016
fast-subsystem monostable + slow memory,logistic,320.0,0.2736256524546325,0.2736256524546325,0.9401607246012578,0.0921126588266083,0.0008792719674813455
near-critical fast subsystem + memory,logistic,5.0,0.3649609766433233,0.3649609766433233,0.922104308803155,0.4421335216138148,0.004202475509035101
near-critical fast subsystem + memory,logistic,20.0,0.4396489163307039,0.4396489163307039,0.9580037024277042,0.6267090664447632,0.020783738007911858
near-critical fast subsystem + memory,logistic,80.0,0.40995936984285436,0.40995936984285436,0.9646309918202609,0.519143471272025,0.015655735910025264
near-critical fast subsystem + memory,logistic,320.0,0.3195223358224124,0.3195223358224124,0.963006154449157,0.16277237904494815,0.0018983722504914576
"bistable, no memory",logistic,5.0,0.059691535758087874,0.059691535758087874,0.591813863616621,0.25960925840574106,1.8356070307866922e-06
"bistable, no memory",logistic,20.0,0.019317933372962132,0.019317933372962132,0.530284917047502,0.35606398906652165,1.169576588355703e-13
"bistable, no memory",logistic,80.0,0.01721715614613707,0.01721715614613707,0.5165146843838576,0.18491175878563387,1.734723475976807e-18
"bistable, no memory",logistic,320.0,0.017211891089160273,0.017211891089160273,0.5163567326748015,0.009635039077434378,1.734723475976807e-18
bistable + memory,logistic,5.0,0.38903734691118524,0.38903734691118524,0.9400293803808841,0.47199005229264884,0.004586199356945668
bistable + memory,logistic,20.0,0.4657913113075591,0.4657913113075591,0.9673605154223563,0.670200816112853,0.02353163213543062
bistable + memory,logistic,80.0,0.4325142198597687,0.4325142198597687,0.9722267497938879,0.5775905317950714,0.019570089710338103
bistable + memory,logistic,320.0,0.3773084760756549,0.3773084760756549,0.9712198112062914,0.23684114878250237,0.0033830131645941905
bistable + memory (logistic),logistic,20.0,0.4657913113075591,0.4657913113075591,0.9673605154223563,0.670200816112853,0.02353163213543062
bistable + memory (logistic),logistic,80.0,0.4325142198597687,0.4325142198597687,0.9722267497938879,0.5775905317950714,0.019570089710338103
bistable + memory (logistic),logistic,320.0,0.3773084760756549,0.3773084760756549,0.9712198112062914,0.23684114878250237,0.0033830131645941905
bistable + memory (probit),probit,20.0,0.48703894718516944,0.48703894718516944,0.9906618977241278,0.6741087773194686,0.009949594203494108
bistable + memory (probit),probit,80.0,0.4574806418848763,0.4574806418848763,0.9933082059884705,0.5923804118344089,0.00802554882125847
bistable + memory (probit),probit,320.0,0.41971429790219145,0.41971429790219145,0.9932010408160175,0.23784677722771325,0.000467162634476289
