n_clusters,standardized_max_gap,shape,cluster_random_intercept_variance_share,serial_rho,attrition,leakage,power,type1,mcse
48,0.3,broad_hump,0.1,0.5,0.1,0.1,0.092,0.047,0.00913980306133562
48,0.4,broad_hump,0.1,0.5,0.1,0.1,0.167,0.047,0.01179453263168999
48,0.5,broad_hump,0.1,0.5,0.1,0.1,0.184,0.047,0.012253326079069307
80,0.3,broad_hump,0.1,0.5,0.1,0.1,0.178,0.055,0.012096115078817662
80,0.4,broad_hump,0.1,0.5,0.1,0.1,0.242,0.055,0.013543854695026818
80,0.5,broad_hump,0.1,0.5,0.1,0.1,0.345,0.055,0.015032464867745409
128,0.3,broad_hump,0.1,0.5,0.1,0.1,0.205,0.041,0.0127661662216971
128,0.4,broad_hump,0.1,0.5,0.1,0.1,0.349,0.041,0.01507312177354114
128,0.5,broad_hump,0.1,0.5,0.1,0.1,0.534,0.041,0.01577479001445027
192,0.3,broad_hump,0.1,0.5,0.1,0.1,0.318,0.05,0.014726710426975875
192,0.4,broad_hump,0.1,0.5,0.1,0.1,0.511,0.05,0.015807561481771943
192,0.5,broad_hump,0.1,0.5,0.1,0.1,0.73,0.05,0.014039230748157109
256,0.3,broad_hump,0.1,0.5,0.1,0.1,0.416,0.056,0.01558666096378567
256,0.4,broad_hump,0.1,0.5,0.1,0.1,0.669,0.056,0.014880826589944525
256,0.5,broad_hump,0.1,0.5,0.1,0.1,0.858,0.056,0.011037934589405756
320,0.3,broad_hump,0.1,0.5,0.1,0.1,0.498,0.042,0.01581126180922952
320,0.4,broad_hump,0.1,0.5,0.1,0.1,0.77,0.042,0.013307892395116514
320,0.5,broad_hump,0.1,0.5,0.1,0.1,0.938,0.042,0.00762600813007697
