n_clusters,standardized_history_reset_interaction,shape,cluster_random_intercept_variance_share,serial_rho,attrition,power,type1,mcse
64,0.4,broad_hump,0.1,0.5,0.1,0.089,0.045,0.00900438781928011
64,0.5,broad_hump,0.1,0.5,0.1,0.106,0.045,0.009734680272099337
64,0.6,broad_hump,0.1,0.5,0.1,0.128,0.045,0.010564847372300274
128,0.4,broad_hump,0.1,0.5,0.1,0.149,0.051,0.01126050620531777
128,0.5,broad_hump,0.1,0.5,0.1,0.191,0.051,0.012430567163247218
128,0.6,broad_hump,0.1,0.5,0.1,0.263,0.051,0.013922320208930694
192,0.4,broad_hump,0.1,0.5,0.1,0.181,0.055,0.0121753439376471
192,0.5,broad_hump,0.1,0.5,0.1,0.281,0.055,0.014214042352547005
192,0.6,broad_hump,0.1,0.5,0.1,0.408,0.055,0.015541428505771277
256,0.4,broad_hump,0.1,0.5,0.1,0.255,0.054,0.013783141876945184
256,0.5,broad_hump,0.1,0.5,0.1,0.369,0.054,0.015259062880793171
256,0.6,broad_hump,0.1,0.5,0.1,0.466,0.054,0.01577479001445027
384,0.4,broad_hump,0.1,0.5,0.1,0.316,0.052,0.014701836619960105
384,0.5,broad_hump,0.1,0.5,0.1,0.496,0.052,0.01581088232832058
384,0.6,broad_hump,0.1,0.5,0.1,0.701,0.052,0.014477534320456644
512,0.4,broad_hump,0.1,0.5,0.1,0.44,0.046,0.015697133496278867
512,0.5,broad_hump,0.1,0.5,0.1,0.631,0.046,0.015259062880793171
512,0.6,broad_hump,0.1,0.5,0.1,0.813,0.046,0.012330085157856779
