dwell,condition,area,max_gap,alpha_at_max_gap,alpha_up_half,alpha_down_half,threshold_width
2,baseline,0.37239937607935614,0.9198661402161009,0.5,0.7250000000000001,0.29999999999999993,0.42500000000000016
2,all channels neutralized,0.10327566105289437,0.6500433771542784,0.65,0.75,0.575,0.17500000000000004
5,baseline,0.40879512056863565,0.9479700380400156,0.42500000000000004,0.675,0.19999999999999996,0.4750000000000001
5,all channels neutralized,0.053183026588040645,0.5863169723041778,0.65,0.7000000000000001,0.6,0.10000000000000009
10,baseline,0.44761620007673025,0.9618612199290397,0.375,0.65,0.1499999999999999,0.5000000000000001
10,all channels neutralized,0.03179626365779647,0.5514578542364369,0.65,0.7000000000000001,0.625,0.07500000000000007
25,baseline,0.4688195902836658,0.9709808651657127,0.35000000000000003,0.625,0.09999999999999998,0.525
25,all channels neutralized,0.019546581075044582,0.5251856804731041,0.65,0.675,0.625,0.050000000000000044
50,baseline,0.4475376343725178,0.9721632741924653,0.325,0.6000000000000001,0.09999999999999998,0.5000000000000001
50,all channels neutralized,0.012944457927116878,0.5177031694249121,0.65,0.675,0.625,0.050000000000000044
100,baseline,0.42091688295267715,0.9718930548994467,0.325,0.5750000000000001,0.09999999999999998,0.4750000000000001
100,all channels neutralized,0.012909839639829793,0.5163935855925161,0.65,0.675,0.625,0.050000000000000044
250,baseline,0.37497003404945534,0.9712270231294936,0.325,0.525,0.09999999999999998,0.42500000000000004
250,all channels neutralized,0.01290891833655657,0.5163567334622416,0.65,0.675,0.625,0.050000000000000044
500,baseline,0.3335983842781253,0.9707594993835389,0.325,0.5,0.125,0.375
500,all channels neutralized,0.012908918316744556,0.516356732669761,0.65,0.675,0.625,0.050000000000000044
