key,doi,stream,role
sznajdweron2024toward,10.1177/17456916231195361,social-hysteresis,definitional-review
kaminska2025cognitive,10.1016/j.eswa.2025.126851,social-hysteresis,direct-precedent
oestereich2020hysteresis,10.1016/j.chaos.2020.109893,social-hysteresis,direct-precedent
nowak2020threshold,10.1103/physreve.101.052316,social-hysteresis,direct-precedent
maia2021adaptive,10.1016/j.physa.2020.125588,social-hysteresis,direct-precedent
cruzcastillo2026spiral,10.1016/j.chaos.2025.117660,social-hysteresis,direct-precedent
macy2021polarization,10.1073/pnas.2102144118,social-hysteresis,direct-precedent
su2017contagion,10.1038/s41598-017-06286-w,social-hysteresis,network-hysteresis
centola2018tipping,10.1126/science.aas8827,social-hysteresis,experimental-tipping
scheffer2009warning,10.1038/nature08227,social-hysteresis,tipping-method
wiedermann2020threshold,10.1038/s41598-020-67102-6,social-hysteresis,tipping-method
chen2019vaccine,10.1098/rspb.2018.2406,social-hysteresis,application
graham2020sociology,10.1177/0001699320961814,social-hysteresis,sociological-framing
gross2008adaptive,10.1098/rsif.2007.1229,adaptive-networks,review
castellano2009statistical,10.1103/revmodphys.81.591,adaptive-networks,review
deffuant2000mixing,10.1142/s0219525900000078,adaptive-networks,foundational-model
holme2006nonequilibrium,10.1103/physreve.74.056108,adaptive-networks,foundational-model
kozma2008consensus,10.1103/physreve.77.016102,adaptive-networks,foundational-model
gil2006coevolution,10.1016/j.physleta.2006.03.037,adaptive-networks,foundational-model
vazquez2008adaptive,10.1103/physrevlett.100.108702,adaptive-networks,foundational-model
kan2023adaptive,10.1093/comnet/cnac055,adaptive-networks,bounded-confidence
li2025adaptive,10.1137/23m1558951,adaptive-networks,bounded-confidence
sasahara2021unfollowing,10.1007/s42001-020-00084-7,adaptive-networks,echo-chamber-mechanism
wang2020public,10.1103/physrevx.10.041042,adaptive-networks,echo-chamber-mechanism
baumann2020echo,10.1103/physrevlett.124.048301,adaptive-networks,polarization-model
baumann2021topics,10.1103/physrevx.11.011012,adaptive-networks,polarization-model
dandekar2013assimilation,10.1073/pnas.1217220110,adaptive-networks,polarization-model
cinelli2021echo,10.1073/pnas.2023301118,adaptive-networks,empirical-network
perra2019personalisation,10.1038/s41598-019-43830-2,algorithmic-opinion,direct-precedent
sirbu2019bias,10.1371/journal.pone.0213246,algorithmic-opinion,direct-precedent
arruda2022algorithms,10.1016/j.ins.2021.12.069,algorithmic-opinion,direct-precedent
rossi2018closedloop,10.48550/arxiv.1809.04644,algorithmic-opinion,direct-precedent
valensise2023drivers,10.1016/j.ins.2023.119152,algorithmic-opinion,model-data-comparison
donkers2024desounding,10.1016/j.osnem.2023.100275,algorithmic-opinion,simulation
gezha2026control,10.3390/e28030333,algorithmic-opinion,direct-precedent
oliveira2026interplay,10.1093/pnasnexus/pgaf402,algorithmic-opinion,direct-precedent
cinus2022people,10.1609/icwsm.v16i1.19275,algorithmic-opinion,link-recommenders
peralta2020asymmetry,10.1103/physrevresearch.2.043117,algorithmic-opinion,personalization-model
thurner2025interactions,10.1073/pnas.2517530122,algorithmic-opinion,polarization-mechanism
chaney2018confounding,10.1145/3240323.3240370,recommender-feedback,direct-precedent
mansoury2020feedback,10.1145/3340531.3412152,recommender-feedback,direct-precedent
kalimeris2021amplification,10.1145/3447548.3467298,recommender-feedback,direct-precedent
zeng2015mutual,10.1088/1742-5468/2015/07/p07020,recommender-feedback,closest-direct-precedent
zhao2013longterm,10.1088/0256-307x/30/11/118901,recommender-feedback,long-term-dynamics
su2016network,10.1145/2872427.2883040,recommender-feedback,natural-experiment
moller2018diversity,10.1080/1369118x.2018.1444076,recommender-feedback,empirical-comparison
krauth2025causal,10.1145/3728372,recommender-feedback,causal-remedy
jadidinejad2020exploration,10.1145/3397271.3401230,recommender-feedback,exploration-remedy
sinha2016deconvolving,10.48550/arxiv.1703.01049,recommender-feedback,deconvolution
ge2020ecommerce,10.1145/3397271.3401431,recommender-feedback,echo-chambers
fabbri2022minorities,10.1145/3501247.3531583,recommender-feedback,network-structure
frey2010connections,10.1145/1864708.1864772,recommender-feedback,network-structure
jannach2020mcnamara,10.1609/aimag.v41i4.5312,recommender-feedback,evaluation
zoralioglu2026dynamic,10.1007/s10844-026-01025-y,recommender-feedback,long-term-dynamics
gauthier2026x,10.1038/s41586-026-10098-2,platform-evidence,central-empirical-motivation
guess2023feeds,10.1126/science.abp9364,platform-evidence,field-experiment
nyhan2023likeminded,10.1038/s41586-023-06297-w,platform-evidence,field-experiment
gonzalez2023segregation,10.1126/science.ade7138,platform-evidence,observational-evidence
guess2023reshares,10.1126/science.add8424,platform-evidence,field-experiment
piccardi2025reranking,10.1126/science.adu5584,platform-evidence,field-experiment
huszar2022amplification,10.1073/pnas.2025334119,platform-evidence,platform-experiment
hosseinmardi2024youtube,10.1073/pnas.2313377121,platform-evidence,counterfactual-audit
bakshy2015exposure,10.1126/science.aaa1160,platform-evidence,platform-observation
