key,doi,verification_authority,metadata_status,version_or_issue_note
bakcoleman2025actionable,10.48550/arxiv.2505.09254,arXiv/DataCite,verified,2025 preprint; version 3 revised 23 April 2026
bakcoleman2025rct,10.1038/s44159-025-00475-5,Nature,verified,2025 Correspondence; volume 4 page 615
hassani2014survey,10.1016/j.ymssp.2014.04.012,Elsevier/Crossref,verified,volume 49 issues 1-2 pages 209-233
preisach1935magnetic,10.1007/BF01349418,Springer/Crossref,verified,author name retained as publisher initial F.
macki1993mathematical,10.1137/1035005,SIAM/Crossref,verified,volume 35 issue 1 pages 94-123
sethna1993hierarchies,10.1103/PhysRevLett.70.3347,American Physical Society/Crossref,verified,volume 70 issue 21 pages 3347-3350
mungan2019returnpoint,10.1007/s00023-019-00807-1,Springer/Crossref,verified,volume 20 issue 8 pages 2819-2872
oh2005duhem,10.1109/TAC.2005.847035,IEEE/Crossref,verified,volume 50 issue 5 pages 631-645
krejci2001inverse,10.1049/ip-cta:20010375,IET/Crossref,verified,volume 148 issue 3 pages 185-192
ikhouane2007systems,10.1002/9780470513200,Wiley/Crossref,verified,book DOI and online ISBN distinguished
coppolillo2025drift,10.1016/j.ipm.2025.104125,Elsevier/Crossref,verified,volume 62 issue 4 article 104125
chandrasekaran2026networkaware,10.1109/TAC.2025.3616262,IEEE/Crossref,verified,2026 volume 71 issue 3 pages 1708-1723; 2025 early access DOI
asikainen2020cumulative,10.1126/sciadv.aax7310,AAAS/Crossref,verified,Science Advances 6(19) article eaax7310
davidson2026closedloop,10.1109/TCSS.2026.3715162,IEEE/Crossref,verified,2026 Version of Record; IEEE Transactions on Computational Social Systems; early-access pages 1-13
depasquale2026control,10.48550/arxiv.2605.01503,arXiv/DataCite,verified,2026 arXiv preprint
mariano2026optimal,10.48550/arxiv.2603.10275,arXiv/DataCite,verified,2026 arXiv preprint
mariano2026pathological,10.48550/arxiv.2607.05010,arXiv/DataCite,verified,2026 arXiv preprint
wu2021randomization,10.1080/01621459.2020.1750415,Taylor & Francis/Crossref,verified,JASA 116(536) pages 1898-1913
liu2026saturation,10.48550/arxiv.2607.04257,arXiv/DataCite,verified,2026 arXiv preprint
